file,class,method,variable,usage
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getColorThemeStyleRes/0,colorThemeMap,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getDarkTheme/0,preferences,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getDarkTheme/0,MODE_NIGHT_FOLLOW_SYSTEM,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getNightThemeStyleRes/1[android.content.Context],THEME_BLACK,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getNightThemeStyleRes/1[android.content.Context],THEME_DEFAULT,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,isSystemAccent/0,preferences,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getColorTheme/0,preferences,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,isBlackNightTheme/0,preferences,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getDarkTheme/1[java.lang.String],MODE_NIGHT_NO,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getDarkTheme/1[java.lang.String],MODE_NIGHT_YES,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getDarkTheme/1[java.lang.String],MODE_NIGHT_FOLLOW_SYSTEM,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getNightTheme/1[android.content.Context],THEME_BLACK,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getNightTheme/1[android.content.Context],THEME_DEFAULT,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedStringId,"LSPosedStringId/2[int,java.lang.Object]",string,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedStringId,getString/0,string,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ShortcutUtil.java,org.lsposed.manager.util.ShortcutUtil,shouldAllowPinShortcut/1[android.content.Context],defaultLauncherPackageName,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ShortcutUtil.java,org.lsposed.manager.util.ShortcutUtil,shouldAllowPinShortcut/1[android.content.Context],shortcutPinned,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ShortcutUtil.java,org.lsposed.manager.util.ShortcutUtil,isLaunchShortcutPinned/0,SHORTCUT_ID,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ShortcutUtil.java,org.lsposed.manager.util.ShortcutUtil,getShortcutBuilder/1[android.content.Context],SHORTCUT_ID,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\repo\model\Collaborator.java,org.lsposed.manager.repo.model.Collaborator,setLogin/1[java.lang.String],login,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\repo\model\Collaborator.java,org.lsposed.manager.repo.model.Collaborator,getName/0,name,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\repo\model\Collaborator.java,org.lsposed.manager.repo.model.Collaborator,getLogin/0,login,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\repo\model\Collaborator.java,org.lsposed.manager.repo.model.Collaborator,setName/1[java.lang.String],name,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedTypeId,getDescriptor/0,descriptor,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedTypeId,"LSPosedTypeId/2[int,int]",descriptor,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPosedService.java,org.lsposed.lspd.service.LSPosedService,dispatchPackageChanged/1[android.content.Intent],EXTRA_REMOVED_FOR_ALL_USERS,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPosedService.java,org.lsposed.lspd.service.LSPosedService,dispatchPackageChanged/1[android.content.Intent],AID_NOBODY,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPosedService.java,org.lsposed.lspd.service.LSPosedService,dispatchPackageChanged/1[android.content.Intent],USER_NULL,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPosedService.java,org.lsposed.lspd.service.LSPosedService,"broadcastAndShowNotification/4[java.lang.String,int,android.content.Intent,boolean]",EXTRA_REMOVED_FOR_ALL_USERS,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPosedService.java,org.lsposed.lspd.service.LSPosedService,dispatchUserChanged/1[android.content.Intent],EXTRA_USER_HANDLE,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPosedService.java,org.lsposed.lspd.service.LSPosedService,dispatchUserChanged/1[android.content.Intent],AID_NOBODY,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPosedService.java,org.lsposed.lspd.service.LSPosedService,registerUserChangeReceiver/0,ACTION_USER_REMOVED,1
